0.1,0.9,5.1,42.81,1.52,0.02,0,0.19,5.26,0.04,0.09,0.7,0.17,0.35,0.02,0.56,0.2,9.09,2.6,0.17,1.03,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,0.038,4.081,32.478,0.055,19.829,3.697,29,1349,1
1.88,0.9,5.1,42.81,1.52,0.48,0.38,0.19,5.26,18.18,2.61,0.98,5.55,0.35,0.33,0.56,0.2,0.52,4.32,0.17,7.4,17.1,0.6,0.75,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,0.135,4.081,32.478,0.209,19.829,6.641,29,1349,1
0.1,0.25,5.1,42.81,1.52,0.48,0.38,0.19,5.26,18.18,2.61,0.61,0.17,0.35,4.41,0.09,0.2,1.19,1.78,0.5,0.63,17.1,5.45,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.06,0.07,2.17,10,0.014,0.158,4.081,32.478,0.209,19.829,1102.5,200,15841,1
0.1,0.25,0.26,42.81,1.52,0.02,0.38,0.83,5.26,18.18,2.61,0.36,0.32,0.35,0.02,0.56,0.2,0.15,4.32,0.17,0.63,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,0.158,4.081,32.478,0.055,19.829,3.697,29,1349,1
0.1,0.25,0.26,42.81,1.52,0.02,0.38,0.83,5.26,18.18,2.61,0.36,0.32,0.35,0.02,0.56,0.2,0.15,4.32,0.17,0.63,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,0.135,4.081,32.478,0.055,19.829,3.697,29,1349,1
0.1,0.25,0.26,42.81,10,0.02,0,11.11,5.26,0.04,0.09,0,0.17,0.35,0.02,0.09,0.2,0.15,0.59,0.17,0.16,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,9.752,4.081,0.067,0.055,19.829,3.697,15,75,1
0.1,0.25,0.26,42.81,10,0.02,0,0.19,5.26,18.18,2.61,3.32,0.17,0.35,0.02,0.97,0.2,0.52,4.32,0.17,1.03,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,0.135,4.081,32.478,0.055,19.829,2.142,5,1349,1
0.1,0.25,0.26,42.81,10,0.02,0,11.11,5.26,0.04,0.09,0,0.17,0.35,0.02,0.09,0.2,0.15,0.59,0.17,0.16,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,9.752,4.081,0.067,0.055,19.829,3.697,5,75,1
1.88,0.25,5.1,42.81,1.52,0.02,0.38,0.19,5.26,18.18,2.61,0.98,0.17,0.35,0.02,0.09,0.2,0.15,1.78,18.18,7.4,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.009,9.752,4.081,32.478,0.209,19.829,1102.5,200,1349,1
0.1,0.25,5.1,42.81,1.52,0.48,0.38,0.19,5.26,0.04,0.09,0.7,0.32,0.35,0.33,0.09,0.2,0.15,1.78,0.17,1.03,17.1,0.25,0.2,0.89,0.6,0.04,2.02,0.57,0.68,0.24,4.7,18.18,4.7,0.19,0.39,6.89,8.33,11.11,0.08,7.14,14.28,3.57,0.08,0.01,0.07,2.17,10,0.08,0.038,4.081,32.478,0.209,19.829,2.142,29,1349,1
